company,location_hq,num_laid_off,layoff_date,percent_laid_off,industry,source,stage,raised_million,country,date_added
Catena Media,SliemaNon-U.S.,29,10/23/24,,Marketing,https://whoswho.mt/en/catena-media-cuts-29-content-and-marketing-jobs,Unknown,,Malta,11/4/24
Jellysmack,New York City,22,10/21/24,,Media,https://www.businessinsider.in/tech/news/jellysmack-is-laying-off-staff-as-it-scales-back-its-creator-program/articleshow/114434680.cms,Series C,$22 ,France,10/22/24
dYdX,SF Bay Area,,10/29/24,35%,Crypto,https://cointelegraph.com/news/dydx-lays-off-thirty-five-percent-workforce-after-consensys-cuts,Series C,$87 ,United States,10/30/24
Coursera,SF Bay Area,150,10/25/24,10%,Education,https://www.classcentral.com/report/cousera-layoffs-2024/,Post-IPO,$458 ,United States,10/30/24
Twelve,SF Bay Area,,10/25/24,,Energy,https://www.linkedin.com/feed/update/urn:li:activity:7255308684677795840/,Unknown,$844 ,United States,10/31/24
Docker,SF Bay Area,,10/29/24,10%,Infrastructure,Internal memo,Series C,$436 ,United States,10/30/24
Airthings,OsloNon-U.S.,,10/24/24,,Hardware,https://www.airthings.com/hubfs/01_Website/investors/presentations/Airthings_ASA_Q324_Presentation.pdf,Unknown,,Norway,10/26/24
Kyte,SF Bay Area,,10/25/24,40%,Transportation,https://techcrunch.com/2024/10/25/rental-car-startup-kyte-slashes-staff-and-shrinks-to-two-markets-in-bid-for-survival/,Unknown,$548 ,United States,10/26/24
Upwork,SF Bay Area,,10/23/24,21%,Other,https://investors.upwork.com/news-releases/news-release-details/upwork-announces-organizational-changes-drive-continued,Post-IPO,$168 ,United States,10/23/24
Venminder,Louisville,100,10/21/24,,Security,https://www.bizjournals.com/louisville/inno/stories/news/2024/10/21/venminder-mass-layoff-elizabethtown-tech-2024.html,Acquired,$49 ,United States,10/22/24
Nikola,Phoenix,130,10/11/24,15%,Transportation,https://finance.yahoo.com/news/numbers-nikola-150000920.html,Post-IPO,"$3,300 ",United States,10/16/24
Fable,New York City,,10/15/24,100%,Product,https://www.fable.app/blog/fable-is-winding-down,Series A,$19 ,United States,10/17/24
Meta,SF Bay Area,,10/16/24,,Consumer,https://www.theverge.com/2024/10/16/24272195/meta-layoffs-whatsapp-instagram-reality-labs,Post-IPO,"$26,000 ",United States,10/16/24
Toplyne,BengaluruNon-U.S.,,10/11/24,100%,Sales,https://www.linkedin.com/feed/update/urn:li:activity:7250449812049813504/,Series A,$17 ,India,10/11/24
Bytedance,JakartaNon-U.S.,500,10/11/24,,Consumer,https://www.reuters.com/technology/bytedance-cuts-over-700-jobs-malaysia-shift-towards-ai-moderation-sources-say-2024-10-11/,Unknown,"$9,400 ",Indonesia,10/11/24
Gigamon,SF Bay Area,69,10/15/24,,Data,https://www.sfgate.com/tech/article/gigamon-layoffs-elliott-investment-management-19839414.php,Acquired,$23 ,United States,10/15/24
